# Table of maximum and minimum concentrations as a function of redshift
# z c200_min c200_max cvir_min cvir_max
20.10 0.10 1.70 0.10 1.80
18.76 0.10 1.80 0.15 1.90
17.59 0.15 1.90 0.15 2.00
16.49 0.15 2.00 0.15 2.10
15.46 0.15 2.15 0.15 2.30
14.49 0.15 2.30 0.20 2.40
13.57 0.15 2.45 0.20 2.55
12.71 0.20 2.60 0.20 2.75
11.90 0.20 2.75 0.20 2.40
11.14 0.20 2.90 0.20 2.90
10.42 0.20 3.10 0.25 3.30
9.750 0.25 3.30 0.25 3.45
9.110 0.25 3.50 0.25 3.70
8.520 0.25 3.70 0.30 3.90
7.950 0.30 3.95 0.30 4.15
7.420 0.30 4.15 0.35 4.40
6.930 0.30 4.40 0.35 4.70
6.460 0.35 4.70 0.40 4.95
6.020 0.35 5.00 0.40 5.25
5.600 0.40 5.30 0.45 5.60
5.210 0.40 5.60 0.45 5.90
4.850 0.45 5.95 0.50 6.30
4.500 0.45 6.30 0.50 6.65
4.180 0.50 6.65 0.55 7.05
3.870 0.55 7.05 0.60 7.50
3.580 0.60 7.45 0.60 7.95
3.310 0.60 7.90 0.65 8.40
3.060 0.65 8.30 0.70 8.95
2.820 0.70 8.75 0.75 9.45
2.590 0.75 9.25 0.80 10.00
2.380 0.80 9.70 0.85 10.65
2.180 0.85 10.20 0.90 11.15
1.990 0.90 10.65 0.95 11.80
1.820 0.95 11.15 1.00 12.45
1.650 1.00 11.65 1.10 13.20
1.490 1.05 12.10 1.15 13.85
1.350 1.15 12.55 1.25 14.60
1.210 1.20 13.00 1.30 15.40
1.080 1.25 13.40 1.40 16.15
0.950 1.35 13.80 1.45 16.90
0.840 1.40 14.20 1.55 17.60
0.730 1.50 14.50 1.65 18.45
0.630 1.60 14.85 1.75 19.10
0.530 1.65 15.10 1.85 19.90
0.440 1.75 15.35 1.95 20.70
0.360 1.85 15.55 2.10 21.45
0.280 1.95 15.75 2.20 22.00
0.200 2.05 15.95 2.35 22.70
0.130 2.10 16.10 2.40 23.20
0.060 2.20 16.20 2.60 23.85
0.000 2.30 16.30 2.75 24.35
